id,conName,start_date,end_date,year,event_location,city,state,state_abrev,country,website
125,Indie Comics Creator Con ,2024-03-09,2024-03-09,2024,S.C.S.U. - Adanti Student Center,New Haven,Connecticut,CT,USA,https://indiecomicscreatorcon.substack.com/
126,ACEcon ,2024-03-09,2024-03-10,2024,Palm Harbor Library,Palm Harbor,Florida,FL,USA,acecon.carrd.co/
127,Colorado Cosmic Con ,2024-03-09,2024-03-10,2024,Colorado Springs Marriott,Colorado Springs,Colorado,CO,USA,https://coloradocosmiccon.com/
128,Louisiana Comic Con ,2024-03-09,2024-03-10,2024,Cajundome Convention Center,Lafayette,Louisiana,LA,USA,https://www.lacclft.com/
129,Sac Comic-Con ,2024-03-09,2024-03-10,2024,SAFE Credit Union Convention Center,Sacramento,California,CA,USA,https://www.sac-con.com/
130,Toronto Comicon ,2027-03-19,2027-03-21,2027,Metro Toronto Convention Centre,Toronto,Ontario,ON,Canada,https://fanexpohq.com/comicontoronto/
131,Florida PolyCon ,2024-03-16,2024-03-16,2024,Florida Polytechnic University,Lakeland,Florida,FL,USA,flpolycon.org/
132,QuadCon St Charles ,2024-03-17,2024-03-17,2024,Steel Shop Athletics & Events,St Charles,Missouri,MO,USA,https://quadcitycon.com/
133,Zenkaikon ,2024-03-22,2024-03-24,2024,Lancaster County Convention Center,Lancaster,Pennsylvania,PA,USA,https://zenkaikon.com/
134,One Day Comic Book Expo ,2024-03-24,2024-03-24,2024,Holiday Inn Philadelphia,Cherry Hill,New Jersey,NJ,USA,https://www.comicbookcollectiveinc.com/odce
135,Collingwood ComiCon ,2024-04-06,2024-04-06,2024,Royal Canadian Legion Branch 63,Collingwood,Ontario,ON,Canada,https://www.popculturecanada.ca/
136,RodCon ,2024-04-06,2024-04-06,2024,U.N.I. - Rod Library,Cedar Falls,Iowa,IA,USA,https://rodcon.library.uni.edu/
137,Fan Expo Cleveland ,2027-03-12,2027-03-14,2027,Huntington Convention Cente,Cleveland,Ohio,OH,US,https://fanexpohq.com/fanexpocleveland/
138,Napanee ComiCon ,2024-04-13,2024-04-13,2024,Strathcona Paper Centre,Napanee,Ontario,ON,Canada,https://www.popculturecanada.ca/
