row_number,row_id,original_name,original_website,source_used,fetch_status,confidence,fields_updated,fields_left_unknown,old_values,new_values,warnings,notes,timestamp_utc
124,124,Comic Conroe,comicconroe.com/,website,ok,HIGH,website,,"{""website"": ""comicconroe.com/""}","{""website"": ""https://comicconroe.com/""}",Visible page text: Vague/ambiguous date detected ('COMING SOON'). | start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T16:51:24
125,125,Indie Comics Creator Con,indiecomicscreatorcon.substack.com/,website,ok,HIGH,website,,"{""website"": ""indiecomicscreatorcon.substack.com/""}","{""website"": ""https://indiecomicscreatorcon.substack.com/""}",start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T16:51:25
126,126,ACEcon,acecon.carrd.co/,website,ok,NONE,,,{},{},start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence | website: kept existing value due to insufficient new evidence,,2026-05-08T16:51:26
127,127,Colorado Cosmic Con,coloradocosmiccon.com/,website,ok,HIGH,website,,"{""website"": ""coloradocosmiccon.com/""}","{""website"": ""https://coloradocosmiccon.com/""}",Visible page text: Date text contains month words but could not be parsed safely. | start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T16:51:27
128,128,Louisiana Comic Con,www.lacclft.com/,website,ok,HIGH,website,,"{""website"": ""www.lacclft.com/""}","{""website"": ""https://www.lacclft.com/""}",start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T16:51:28
129,129,Sac Comic-Con,www.sac-con.com/,website,ok,HIGH,website,,"{""website"": ""www.sac-con.com/""}","{""website"": ""https://www.sac-con.com/""}",start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T16:51:29
130,130,Toronto Comicon,fanexpohq.com/comicontoronto/,website,ok,HIGH,start_date;end_date;year;website,,"{""end_date"": ""March 17"", ""start_date"": ""March 15"", ""website"": ""fanexpohq.com/comicontoronto/"", ""year"": ""2024""}","{""end_date"": ""2027-03-21"", ""start_date"": ""2027-03-19"", ""website"": ""https://fanexpohq.com/comicontoronto/"", ""year"": ""2027""}",event_location: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence,,2026-05-08T16:51:30
131,131,Florida PolyCon,flpolycon.org/,website,ok,NONE,,,{},{},start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence | website: kept existing value due to insufficient new evidence,,2026-05-08T16:51:32
132,132,QuadCon St Charles,quadcitycon.com/,website,ok,HIGH,website,,"{""website"": ""quadcitycon.com/""}","{""website"": ""https://quadcitycon.com/""}",Visible page text: Date text contains month words but could not be parsed safely. | start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T16:51:32
133,133,Zenkaikon,zenkaikon.com/,website,ok,HIGH,website,,"{""website"": ""zenkaikon.com/""}","{""website"": ""https://zenkaikon.com/""}",start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T16:51:33
134,134,One Day Comic Book Expo,www.comicbookcollectiveinc.com/odce,website,ok,HIGH,website,,"{""website"": ""www.comicbookcollectiveinc.com/odce""}","{""website"": ""https://www.comicbookcollectiveinc.com/odce""}",start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T16:51:34
